number,name,prompt
A-01,学校,"photorealistic architectural rendering, modern school building, educational facility,"
A-02,レストラン,"A realistic Japanese family restaurant interior, casual and comfortable atmosphere, spacious dining area, booth seats with leather or vinyl upholstery, wooden tables, partitioned seating, drink bar corner with soda machines and coffee machine, self-service soup bar, menu stands on each table, tablet ordering devices, small call buttons on tables, colorful laminated menus, large windows facing the street, warm ceiling lights, clean and bright interior, families and small groups enjoying meals, Japanese-style casual dining, plates of hamburger steak, omurice, pasta, curry rice, parfait desserts and drink bar glasses on tables, cozy everyday atmosphere, realistic lighting, architectural interior photography style, highly detailed, high quality, "
A-03,おもちゃ屋さん,"A cheerful toy store interior, colorful shelves filled with toys, plush animals, building blocks, dolls, action figures, toy cars, board games and puzzles, bright and playful atmosphere, warm lighting, colorful decorations, balloons, cute signs, neatly arranged display tables, family-friendly space, joyful and nostalgic mood, clean and inviting shop design, vibrant colors, realistic lighting, highly detailed, high quality, "
A-04,図書館,"A realistic library interior, quiet and calm atmosphere, tall bookshelves filled with many books, wooden tables and chairs, warm reading lamps, large windows with soft natural light, peaceful study space, neatly organized aisles, cozy reading corners, high ceiling, clean and elegant design, serene mood, architectural interior photography style, highly detailed, high quality,"
A-05,公園,"A cheerful public park filled with many playground equipment, colorful slides, swings, jungle gym, climbing nets, seesaws, spring riders, sandbox, rope bridge and play structures, wide open park space, soft green grass, trees around the playground, bright sunny day, blue sky, family-friendly atmosphere, safe and clean design, joyful and energetic mood, realistic lighting, architectural landscape photography style, highly detailed, high quality, "
A-06,家,"A cozy family house exterior, warm and welcoming atmosphere, soft evening light, warm lights glowing through the windows, small garden with flowers, wooden front door, comfortable residential design, peaceful quiet neighborhood, gentle colors, calm sky, inviting home feeling, realistic architectural photography style, highly detailed, high quality"
A-07,駅,"A realistic Japanese train station platform, railway tracks running beside the platform, people waiting calmly for the train, commuters standing in line, station signs, overhead roof structure, safety yellow tactile paving along the platform edge, benches, vending machines, timetable boards, electric wires and signal lights, modern local train approaching in the distance, everyday Japanese urban atmosphere, bright natural daylight, clean and orderly environment, realistic lighting, architectural photography style, highly detailed, high quality, "
A-08,プール,"A bright summer water park, colorful water slides, large swimming pools, lazy river, splash zone, people enjoying summer vacation, children playing with water fountains, inflatable floats, palm trees, sun umbrellas, blue sky, strong summer sunlight, sparkling water reflections, cheerful and energetic atmosphere, resort-like feeling, vibrant colors, realistic lighting, highly detailed, high quality, "
A-09,水族館,"A realistic aquarium interior, large glass tank filled with clear blue water, colorful tropical fish, rays and sea turtles swimming gracefully, soft blue lighting, people watching the aquarium quietly, silhouettes in front of the giant tank, calm and magical atmosphere, underwater world feeling, clean modern aquarium design, reflections on the glass, peaceful mood, highly detailed, realistic lighting, high quality, "
A-10,動物園,"A realistic zoo scene, spacious outdoor animal enclosures, giraffes, elephants, zebras, lions and monkeys in naturalistic habitats, visitors walking along clean pathways, families watching animals, trees and greenery throughout the zoo, wooden fences and glass viewing areas, informational signs near the enclosures, bright daytime sunlight, cheerful and educational atmosphere, family-friendly public zoo, realistic lighting, highly detailed, high quality, "
